episode_id,seat,final_money,peak_crew,total_hires,first_land_day,elbow_day,tiles_planted,plants_carrot,plants_melon,plants_strawberry,plants_tomato,plants_wheat,price_carrot_max,price_carrot_min,price_egg_max,price_egg_min,price_fertilizer_max,price_fertilizer_min,price_melon_max,price_melon_min,price_milk_max,price_milk_min,price_strawberry_max,price_strawberry_min,price_tomato_max,price_tomato_min,price_wheat_max,price_wheat_min,price_wool_max,price_wool_min
89004648,0,4127.0,2,60,,0.0,9,0,0,0,9,0,42,35,67,50,100,100,293,250,361,160,321,120,108,60,51,25,248,200
89004648,1,4127.0,2,60,,0.0,9,0,0,0,9,0,42,35,67,50,100,100,293,250,361,160,321,120,108,60,51,25,248,200
89005103,0,27698.0,7,203,,0.0,86,27,32,3,5,19,42,33,74,50,100,100,281,13,344,160,315,120,101,60,49,25,246,200
89005103,1,27698.0,7,203,,0.0,86,27,32,3,5,19,42,33,74,50,100,100,281,13,344,160,315,120,101,60,49,25,246,200
89006005,0,2300.0,0,0,,0.0,30,30,0,0,0,0,42,35,66,50,100,100,293,250,358,160,318,120,93,60,49,25,248,200
89006005,1,3846.0,2,60,,0.0,9,0,0,0,9,0,42,35,66,50,100,100,293,250,358,160,318,120,93,60,49,25,248,200
89006016,0,40969.0,10,254,14.0,13.0,162,40,19,8,14,81,40,29,71,50,100,100,281,138,351,160,304,120,96,60,36,22,248,200
89006016,1,41521.0,10,254,14.0,13.0,167,45,19,8,14,81,40,29,71,50,100,100,281,138,351,160,304,120,96,60,36,22,248,200
89006021,0,2300.0,0,0,,0.0,30,30,0,0,0,0,42,35,67,50,100,100,293,250,351,160,327,120,101,60,50,25,250,200
89006021,1,2300.0,0,0,,0.0,30,30,0,0,0,0,42,35,67,50,100,100,293,250,351,160,327,120,101,60,50,25,250,200
89006464,0,28157.0,10,254,14.0,0.0,158,50,19,8,11,70,40,33,74,50,100,100,277,1,328,160,327,120,96,60,45,25,251,200
89006464,1,17093.0,8,192,0.0,0.0,262,143,119,0,0,0,40,33,74,50,100,100,277,1,328,160,327,120,96,60,45,25,251,200
89006914,0,27932.0,7,210,,0.0,144,90,20,0,0,34,40,23,74,50,100,100,278,86,340,160,308,120,109,60,47,23,247,200
89006914,1,27932.0,7,210,,0.0,144,90,20,0,0,34,40,23,74,50,100,100,278,86,340,160,308,120,109,60,47,23,247,200
89007360,0,20404.0,0,0,,0.0,17,0,17,0,0,0,42,35,64,50,100,100,281,70,347,160,316,120,103,60,49,25,250,200
89007360,1,38514.0,7,203,,13.0,86,27,32,3,5,19,42,35,64,50,100,100,281,70,347,160,316,120,103,60,49,25,250,200
89007807,0,2300.0,0,0,,0.0,30,30,0,0,0,0,42,35,65,50,100,100,289,250,354,160,299,120,104,60,49,25,250,200
89007807,1,21662.0,7,177,12.0,0.0,76,35,9,3,6,23,42,35,65,50,100,100,289,250,354,160,299,120,104,60,49,25,250,200
89007813,0,6517.0,8,192,0.0,0.0,260,141,119,0,0,0,42,35,69,50,100,100,277,1,340,160,314,120,98,60,51,25,250,200
89007813,1,7058.0,8,192,0.0,0.0,270,151,119,0,0,0,42,35,69,50,100,100,277,1,340,160,314,120,98,60,51,25,250,200
89008254,0,21529.0,0,0,,0.0,17,0,17,0,0,0,41,28,69,50,100,100,278,189,354,160,330,120,105,60,48,24,247,200
89008254,1,32455.0,7,210,,10.0,144,90,20,0,0,34,41,28,69,50,100,100,278,189,354,160,330,120,105,60,48,24,247,200
89009154,0,17545.0,8,192,0.0,0.0,267,148,119,0,0,0,41,33,66,50,100,100,277,1,340,160,319,120,90,60,41,23,252,200
89009154,1,27602.0,10,254,14.0,0.0,165,63,18,4,14,66,41,33,66,50,100,100,277,1,340,160,319,120,90,60,41,23,252,200
89009207,0,27698.0,7,203,,0.0,86,27,32,3,5,19,42,33,74,50,100,100,281,13,344,160,315,120,101,60,49,25,246,200
